ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x2a (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3818,len:0x508
load:0x403c9700,len:0x4
load:0x403c9704,len:0xad0
load:0x403cc700,len:0x29e4
entry 0x403c9880
AMG88xx pixels
Could not find a valid AMG88xx sensor, check wiring!
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x2a (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3818,len:0x508
load:0x403c9700,len:0x4
load:0x403c9704,len:0xad0
load:0x403cc700,len:0x29e4
entry 0x403c9880
AMG88xx pixels
-- Pixels Test --

0.00,0.00,0.00,0.00,0.00,0.00,4.25,0.00,
-434.00,128.00,76.00,-12.50,437.25,1.25,441.25,1.25,
-0.25,-0.25,-112.75,13.75,0.00,0.00,-367.50,13.75,
316.00,-12.75,0.00,0.00,0.00,0.00,0.00,0.00,
-0.25,207.75,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,92.00,-12.50,-54.00,-13.75,4.25,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-104.00,128.00,100.00,-12.50,0.00,0.00,11.00,0.00,
25.75,25.50,25.00,25.00,25.00,25.25,25.25,25.25,
26.75,25.75,23.50,25.00,24.25,24.50,24.50,26.00,
26.75,24.00,24.00,24.25,24.25,24.25,24.25,24.50,
25.50,24.00,24.25,23.25,23.50,23.50,24.00,24.00,
24.25,26.00,24.00,23.50,23.00,23.00,23.25,24.25,
25.50,25.00,23.25,23.00,23.25,22.50,23.25,23.50,
24.00,23.75,23.00,23.25,23.50,23.25,23.00,23.00,
24.25,23.50,24.00,24.75,24.25,24.00,23.50,23.00,
25.75,26.00,24.50,25.00,24.75,25.00,25.25,24.50,
28.00,26.50,24.50,25.50,24.25,24.75,24.50,24.75,
27.00,26.50,26.25,24.00,23.75,24.50,24.50,23.50,
27.25,26.50,25.00,22.75,23.50,24.00,24.00,24.00,
27.75,25.50,23.50,25.25,23.75,23.25,23.00,24.00,
24.25,22.25,24.75,25.25,23.75,23.25,23.50,23.25,
23.75,24.00,25.00,23.50,23.50,22.75,23.00,23.00,
24.25,24.25,24.00,25.00,25.00,24.00,23.00,22.75,
25.25,25.50,25.00,25.50,25.25,25.00,25.00,24.75,
27.50,27.25,25.00,25.25,25.00,24.50,24.50,25.00,
27.25,27.00,26.25,25.25,23.50,24.50,24.75,23.50,
27.00,26.75,26.25,23.50,23.25,24.25,24.25,23.75,
29.75,26.00,24.00,24.25,25.25,23.75,23.75,23.50,
24.50,23.00,23.25,25.75,24.50,23.75,23.25,23.00,
23.75,24.00,25.50,24.50,23.50,23.50,23.00,23.00,
23.75,24.00,24.25,25.25,25.00,24.00,23.00,23.00,
25.25,25.50,26.00,25.50,25.25,25.75,25.25,24.75,
26.50,27.25,26.00,25.50,25.25,24.75,24.50,25.00,
27.25,27.00,26.75,25.75,24.25,24.00,25.00,24.25,
27.00,26.50,26.75,24.50,23.25,24.50,23.75,23.75,
29.75,26.50,24.75,23.75,25.50,24.25,23.50,24.50,
25.00,23.75,22.75,25.75,24.50,23.50,23.75,23.50,
24.50,23.75,24.50,24.25,24.00,23.25,23.25,22.75,
23.75,24.00,24.00,25.25,24.50,24.25,23.50,23.25,
24.75,25.75,26.00,25.00,25.00,25.25,25.25,24.75,
26.50,27.50,26.25,25.00,25.00,24.50,24.25,24.75,
27.25,27.25,26.75,25.50,23.75,24.00,25.75,23.75,
26.75,26.75,26.50,24.50,23.00,24.25,24.00,24.25,
29.75,27.00,25.25,23.25,25.75,24.00,23.50,24.00,
25.25,23.50,22.75,25.50,25.25,23.50,23.50,22.75,
23.75,23.75,24.50,25.25,23.50,23.25,22.50,22.75,
24.00,24.00,23.75,25.00,25.00,23.75,23.25,23.50,
24.75,24.75,25.50,25.00,24.75,25.25,25.25,25.25,
