1,,,,,,,
33.25,33.5,33,33,32,32,31.25,30.5
33.25,33,31.75,31.25,31,30.25,30.5,30.75
32.75,31.75,30.75,30.25,30.25,29,30.5,31
31.25,28.75,30.75,30.25,29.75,29.75,29.75,30.75
28.5,29.25,30.75,30.5,30.25,30.5,28.5,30
27.75,29.5,30.5,30,30.25,30,28.5,28.5
27.5,29,29.75,29.25,30,29.75,27.5,27.25
27.25,27.25,29,29.25,28.25,28.5,27.25,27.75
32.75,33,32.5,32.75,31.75,31.75,31.25,30.5
33,32.5,31.5,31,31,29.5,30.75,30.75
32,31.25,30.75,29.75,30,29.25,31,30.25
29.75,30.25,30.75,30.5,30,30,29.75,30.5
28.75,30.5,31,30.75,30,30,28.25,30
28,30,30.25,29.75,30,29.5,28,28
27.5,29.25,30,29.25,30,29.25,27.25,27
27,27.75,29.25,28.75,28.75,28,28,26.75
32.75,33,32.25,32.25,30.75,31.25,31,30.75
33,32,30.75,31,30.25,29.5,30.75,30.75
31.5,31.5,31,30,29.75,30.25,31,30.25
29.5,31,30.75,30.25,29.5,29.5,30.25,31
29.5,31,30.75,30.25,30.25,29.5,27.75,30.25
28.75,30,30,29.5,30,29,27.75,27.5
28.25,30.25,29.5,29.25,29.5,28.5,27.5,27.25
27.25,28.75,28.75,29,28.75,27.5,27.25,27.5
32.75,32.5,31.75,31.75,29.5,30.75,31,31
32.5,32.25,30.5,30.75,29,31.25,31,30.5
32.25,31.5,30.5,29.5,30.25,31.5,31.25,30.75
31,30.75,30.25,30,30,30.25,30,30.75
31,31,30.25,30,30.25,27.5,27.75,28.5
30.5,29.75,29.75,29.5,29.75,27.75,27.5,27.5
29.5,29.75,29.25,29.75,29.5,27.5,27,27.5
28.5,29.5,29,29.5,28.25,27,26.5,26.75
33.25,32.75,31.75,30.75,30.25,31.25,31.25,30.75
32.75,31.75,30.5,29.75,30.75,31.5,31,31
31.75,31.5,31,29.25,31,31.25,30.75,30.25
31,30.75,30.5,30,29.75,29,28.75,30.5
30.5,30.5,29.75,30.25,29.5,27.5,27.75,28
30.25,30,29.5,30,29.25,27.25,27,26.75
29.75,29.75,29.25,29.25,29,27.25,26.75,27
29,29.25,29.25,29.25,28,27,26.25,26.25
32.5,32.75,31.75,30.75,30.5,31,31.25,31.5
32.5,31.75,30.25,29.5,31,30.75,30.5,30.5
31.75,31.25,30.25,29.75,31.25,30.75,30.25,30.75
31,30.75,30.25,29.5,29.75,28,28.25,30
30.75,30.5,29.75,29.75,29.25,27.5,27.25,27.5
30,29.75,29.25,29.5,29.5,27.75,27.25,27
29.75,29.75,29,29.25,29.25,27.5,26.25,27
28.75,29.25,29,29.5,27.75,27,26.5,27
32.5,32.75,31.5,30.5,31,31.25,31,30.75
32.5,31.75,30.25,29.75,31,30.5,30.25,30.75
32,30.75,30.5,29.5,30.75,30.75,29.5,30.25
31,30.5,30.5,29.75,30,28.25,28.25,30.25
30.75,30.5,29.75,30,30.5,28,27.5,27.5
30.75,29.75,29.25,29.5,29.75,28,27,27.25
29.5,29.75,29,29,29.25,28,26.75,27
28.75,29.5,29.5,29,28.5,27,26.5,26.75
32.75,32.75,32,31.25,29.5,31.25,31.5,30.75
33,32.25,30.75,30.25,29,31.75,30,30.75
32.5,31.5,31,30.5,30,31.25,30,29.75
31.75,31,31,29.75,29.75,30,28,28.5
31,30.5,29.75,29.75,29.75,29.75,27.25,27.75
30.5,30,29.75,29.25,30,29.25,27.5,27.25
28.75,29.75,29.75,28.75,29.5,29.5,27.5,27
27.75,28.75,29.25,29,29,27.5,26.75,26.75
32.5,33,32.25,32,30.5,29.5,31.25,31
32.75,32.5,31.75,31,30.5,29.5,31,30.25
31.75,32,31.5,31,30.75,29.5,31,29.75
30.25,30.5,30.75,30.25,30,29.75,30.25,29
28.5,30.25,30.5,30.25,29.75,29.5,30.5,28.75
27.75,28.75,30,29.75,30,29.75,30.25,28
27.25,28.25,29.25,29.5,29,29.25,29.25,28
27.5,27.25,28.5,28.75,29,29.75,28.25,27.75
33.25,33.25,32.75,32.5,31.75,30.5,30.75,31.75
33.25,33.5,32,31.5,30.75,30.25,29.25,31.5
33,32.75,31.75,31.5,31,30.25,29.5,30.75
32.25,31.25,31.25,30.75,30.5,30.5,29.5,29.75
31,29.75,30.25,30.25,30,30.25,30.25,29.5
28.5,29.25,30.25,29.75,29.5,29.75,30.5,29
28,28.75,30,29.5,29.5,29.5,29.25,28.5
27.75,28.25,29.25,29.25,29,29.5,29.75,28.25
33.5,33.5,32.25,33,32.75,33,33,32.5
32.75,33.25,32.5,33,32.5,32.5,32.5,32
32.25,33,32.25,32.25,32.5,32,30.5,31
32.75,32.5,32.5,32.5,32,30.75,28.25,31.5
32.25,32.75,32.25,31.75,31.25,29.75,28.5,30.25
31.75,32,31.5,30.75,30.5,29.5,29.25,29.75
31.25,31.5,30.5,29.5,29.25,29.5,29,29
31.25,27.25,28.5,29.25,29,28.5,29.5,29.25
32.75,32.5,32.25,32.75,32.75,32.5,32.25,32
33,32.5,32.5,32.25,32.75,31.25,30.5,31
32.25,32,32,31,30.5,29.25,28.75,31.25
29.75,27.75,29,30.25,29.75,29.25,28,30.25
27.25,26.75,28.75,30.25,30,29.5,28,29.75
27.25,26.75,28,29.75,29.5,29.5,29,29.75
26.25,26.75,27,29.25,29,28.75,29,29
26.5,26.5,27,28,28,28,28.75,29
27.25,28,27.75,29.5,30.25,30,29,30.75
27.75,27.25,27.75,29.5,30,29.25,28.75,30.25
27.25,27.5,27.25,29.25,30,29.75,28.5,29.75
27,27,27,28.5,30,29.75,28.75,30.25
26.5,26.75,27,27.75,29.5,29.75,29.5,30.25
27,26.5,27,27.25,29.25,29.5,29.5,29
26.25,26.75,26.5,26.75,28.5,29.5,29,28.75
26.25,26.5,26.75,26.75,27.25,29.25,28.25,27.25
27.75,27.25,27.25,28,29.25,29.5,28.5,29.75
27.5,27.5,27.25,27.75,29.75,29.5,28,29.25
26.75,27.25,26.75,27.5,29.5,29.5,29.5,29.25
26.75,26.75,26.75,27,28.5,29.5,29.5,29.75
26.75,26.75,27,26.75,28.25,29,29.75,28.75
26.25,26.5,26.5,26.75,27.5,29.25,29.5,28.5
26.5,26.25,26.25,26.25,26.75,29.5,29,26.75
26.25,26.25,26.5,27,27,28.5,27,26.75
27,27.25,27,27.5,29.5,29.25,28.25,29.75
27,27,26.75,27.75,29.5,29.75,28.75,28.75
26.75,27.25,27.25,27.5,29.25,29.25,29,28
26.25,26.5,26.75,26.75,28.5,29.5,29,30
26.25,26.75,26.75,26.5,27.25,29.25,29.25,29
26,26.75,26.25,26.75,27.5,29,29.5,28.25
26.5,26.5,26.5,26.5,26.75,29,28.25,27
26.25,26.75,26.75,26.75,26.75,29,27.5,26.75
28,27.5,27.25,27.75,28.75,29.5,29.5,30.25
27.5,27.25,27,27.75,29.25,30,30,29.5
27,27.25,26.75,27.5,29.5,29.5,29.5,28.5
26.75,27,26.75,26.75,29,29.75,30,29.25
27,26.75,26.75,27.25,28.25,29.25,29.75,28.75
26.75,26.75,26.5,27,27.75,29.75,29.5,28
26.5,26.5,26.75,26.75,27,29,27.75,26.75
27,26,27,26.75,27,28,27,26.25
27,27.75,27.5,28.25,29,29.75,28.25,30.5
27.5,27.25,27,27.5,29.25,30.25,29,29.25
27,27,27.25,27.75,29.25,29.75,29.75,28
27.25,26.5,27,26.75,29.25,29.5,30.25,29
26.75,26.5,26.75,27,28.5,29.5,29.75,27.75
26.5,26.75,26.75,27,27.75,29.25,29.25,27.5
26,27,26.5,26.75,27,29,27.5,27.5
26.25,26.25,26.5,27,27,27.75,26.5,26.75
27.75,27.75,27.25,29.5,29.5,29.5,28.75,30.25
27,27.75,27,29.25,29.75,29.5,28.75,30.75
27,27.5,26.75,28.75,30,30,28,30
27,27,26.75,28.5,29.5,30,28.25,28.75
27,27,26.75,27.75,29.5,29.75,28,28
26.75,26.5,26.75,27.5,29.75,29,27.25,26.75
26,26.5,27.25,27,29.75,28.25,26.75,26.75
26.5,26.75,26.25,27.25,27.25,27.25,26.75,25.25
27.75,27.75,27.75,29.25,30,28.75,30.5,31
27.5,27.75,27.25,29.5,30,29.5,29.75,30.5
27.25,27.25,27.25,29.5,29.75,30,29.25,30
27,27,27,29.5,29.5,30,28.25,28.5
26.75,27.25,27.25,28.75,29.75,29.75,27.5,27.25
27,26.75,27.25,28,30,28.25,27.25,27
26.75,26.75,26.75,27,29.5,27.5,26.75,26.75
26,27,26.5,27.5,27.75,26.75,26.5,26.75
27.25,27.75,28,29.5,30,28.75,30.75,30.5
27.75,27.75,28.75,30,29.75,28.75,30.5,30
27.25,27.75,28.25,30,29.75,28.75,31,29.5
27,26.75,27.75,29.75,29.5,29.5,27.75,28
27,27,27.75,29.25,29.75,29,27.25,27.75
26.75,26.75,26.75,28.25,30,28,27,27
26.5,26.75,27,27.5,29,27,26.75,26.75
27,26.25,26.75,27,27.5,26.25,27,25.75
27.75,27.75,28.25,29.75,29.5,29,30.25,30
27.25,27.75,28.5,29.75,29.75,28.75,29.75,30.5
27.25,27.75,28.25,29.5,30,28.75,30,29.75
27,26.75,27.75,29.5,29.25,30,27.75,27.75
26.75,26.5,26.75,29,30,29.25,27.5,27.5
26.75,26.5,27,27.5,30,27.75,26.75,27
26.75,26.75,26.75,26.75,28.75,27.25,27,26.5
26.5,26.5,26.75,27.5,27,26.75,26.5,25.75
27.75,27.75,29,29.75,30,28.5,29.5,30.75
27.75,27.5,28.75,29.75,30.25,29,29,30.75
27,27.5,28.25,29.5,30,29.5,28.75,28.25
27.25,26.75,27.25,29,29.5,29.5,27.75,27.25
26.75,26.75,27.25,28.75,30.5,29.25,28,27.25
27.25,26.75,27,27.75,30.25,27.25,27.25,26.75
26.25,27,26.75,27,29,27.5,26.5,27
26.5,26.25,26.5,27,27,26.5,25.75,25.75
27.5,28.5,29.25,29.75,29.5,30,28.75,30.75
27.5,28.75,28.75,30.25,29.75,29.25,27.75,30.5
27.25,28,29.25,29.75,30,29.5,28,29.5
27.25,27.25,29,29.25,29.25,29.5,27.5,26.75
27,27,28.5,29.25,29.5,29.25,27.25,27.25
26.75,27,27.5,29.5,30,28.75,27.25,27
26.5,26.75,26.25,27.75,29.25,27.25,26.25,26.75
26.5,26,26.5,28.5,28.75,26.75,26,26.25
27.25,28.5,28.75,29.5,30,29.5,29,31
27.75,28.75,28.5,29.75,29.5,29.5,28.5,30
27,28.5,29,29.5,29.5,29.5,28,30
27.25,27.75,29.5,29.5,29.5,29.75,27,28
27,27,29,29.25,29.25,29.75,26.75,26.75
26.75,27.25,28.25,29.5,29.5,29.25,27.25,26.75
26,26.75,26.75,28.5,29.75,27.5,26.25,26.75
26.5,26.25,27,27.75,28.5,27,26,26
27.75,29,28.75,30,29.5,29.25,28.75,30.5
28,29,28.5,30,30,28.75,29.75,30.75
27.25,28.75,29,30,29.5,29.25,29.75,30.25
26.75,27.25,29.75,29.75,29.75,29.75,28.25,27.75
27.5,27.25,29.25,29.25,29.5,29.75,27.75,27.25
26.5,26.5,28,29.5,30,29,27.75,26.75
26.5,26.75,27,28,30,27.5,27.25,26.5
26.75,26.25,26.25,28,29,27,26.5,26.75
27.75,29.25,29,30,29.75,30,29,31
27.5,29.5,29,30.25,30,29.5,29.75,31
27.5,28.75,30.25,30.25,29.75,29.75,30.25,30
27.25,27.5,29.75,29.75,29.25,29.75,29.5,28
27,27.5,28.75,29.5,29.75,30.25,29.25,28
27,27,28,29.5,30,29.5,28,27.25
26.75,26.75,26.75,27.25,30,27.75,27.25,27.5
26.25,26.25,27,27.25,29,27,26.75,26.5
27.5,29.25,29,30.5,30.25,30,28.75,30.75
27.75,29,29,30.25,30.25,30.25,29.75,30.5
27.25,28.5,30,30,30,30,30.5,30
27,27,29.5,29.5,29.25,29.75,30,28.25
27.25,27,28.5,29.5,29,29.25,29.75,28.25
26.75,26.75,27.5,29.25,29.5,29.75,29.25,27.5
26.75,26.75,26.75,27,29.5,29.75,27.75,27
26.25,26.5,26.5,27,28,29,27,26.5
27.5,29.25,29.5,30.25,30.25,30,29.5,31
27.75,29,29.25,30.5,30,30.25,29.75,30.75
27.5,28,30.25,30,30,30,29.75,30
26.75,27,29.75,29.25,29.5,29.75,30,29.5
27.25,26.75,28.75,29.5,29.25,29.5,29,29
26.75,26.75,27.5,29.5,29,29,29.75,28
26.5,27.25,27,27.75,29.75,30,28,26.75
26,26.25,26.75,27,27.75,29.5,27,26
28.25,29.5,29.75,30,30.5,30.25,29.75,31
28,29.75,30.25,30.75,30,30.25,29.75,30.75
27.75,28.75,30.5,30.25,30,30,30.25,30.25
