1,,,,,,,
28.25,28.25,27.5,28,27.25,28,28.5,27.75
28,28,28,28.5,27,28,27.5,27.25
27,27.75,30.25,30.25,27,27.25,27.25,27
26.5,27,39,38,26.25,27.25,26.75,27
26.5,27.5,31.5,31,26.5,28.25,28.5,26.75
26.25,25.75,27.75,27.5,26.25,28.25,28,26
25.75,25.75,25.75,26.25,25,27.75,27.5,26.5
25.5,26,26,26,25.75,27,26.5,25.5
28.75,28,27.5,28.25,27.75,28,27.5,27.75
27,27.5,28.25,28.5,27,27.5,27.75,27.5
26.75,27.5,30,30.25,26.75,27.25,27.25,27.25
26.5,27.25,38.75,39,26.5,27,27,27
26.75,27.5,31.75,31.25,26.75,28,28.5,26.75
25.75,25.75,28,27.75,26,28.25,28.5,26
26.25,25.75,25.75,26,25,27.5,27.5,25.5
25.5,25.25,25.75,26.25,26.25,27,26.25,25.25
28,28.25,27.25,28.25,27.5,28,27.75,27.75
27.75,28,28.25,28.25,27.25,27.25,27.25,27
27.25,27.75,29.75,30,26.5,26.75,27.25,27.25
26.25,27,39.75,37,26.25,27,27.5,26.75
26.5,27.5,32,30.75,26.25,28.5,28.75,26.25
25.25,26,28,27.75,26,28.5,28,26
25.75,25.75,26,25.5,25.25,27.75,27,25.75
26,25.75,26,26.25,26.25,27,26.5,25.25
28,27.75,27.5,27.75,26.75,27.5,27.25,26.75
27.5,27.25,28,28.25,26.75,27.5,27,26.75
26.5,27.5,30,30,26.5,27.25,27,27.25
26.5,27,39.75,36.75,26.25,27.5,26.75,26.75
25.75,27.25,31.75,30.5,26.5,28.25,28.75,26.5
26,25.75,27.75,27.5,26,28.25,27.75,26.25
25.25,25.5,25.5,25.75,24.75,27.75,26.5,25.5
25.75,25.5,26,26.5,26,26.75,26.5,25
28,28.25,27.75,28,27,28,27.75,27.75
27.25,27.75,28.25,28.5,26.75,27.5,27.75,27
26.75,27.5,30,29.25,26.75,27,27.25,27.5
26.25,27.25,39.25,36.25,26,27.25,27,27
26.5,28,31.75,29.75,26.5,28.25,28.25,26.5
26,25.75,28.25,27.75,26,28.75,28.5,26
25.75,25.75,25.75,25.75,25,28,27.25,26
25.5,25.75,26,25.75,26,26.5,26.25,25.25
28,27.75,27.75,27.75,27.5,27.5,27.5,27.5
27.75,27.75,28,28.75,27,27.75,27.25,27
26.75,27.25,30.25,29.25,26.5,27,27.25,27.5
26.25,27.25,40,36.25,26.25,27.25,26.75,27.25
26.5,27.75,31.5,29.75,26.25,28.25,28.75,26.75
25.75,26.25,28.25,27.5,26.25,28.25,28,26.75
25.75,25.5,25.75,26,25,28.25,27,26.25
25.5,25.5,26.25,26.75,25.75,26.5,26,25.25
28,28,27.75,28,27,27.75,27.5,26.75
27.5,27.5,28,28.5,27.25,27.5,27.5,27
27,27.5,30.5,29.5,26.75,27,27,27
26.25,27,40,38.5,26.25,27.25,27.5,26.75
26.25,27.25,30.5,30.25,26.25,28,28.25,26.75
26.25,25.75,27.25,27.5,25.5,27.5,28,26.5
25.25,25.75,26,25.75,25,27.25,27.25,25.75
25.5,25.25,26,26,25.75,26.25,26,25.25
28,27.75,27.5,28.25,27.25,28,27.75,27.75
28,27.5,28,29.75,27,27.25,27.75,27
26.75,26.75,29.25,33.25,26.5,26.5,27,27.25
26.75,26.25,31.5,44,27,26.5,28.25,26.75
26,26.25,29.25,31.25,27.25,27,29,27.25
25.75,25.75,25.75,28.5,26.25,26.5,29.5,26.5
26,25.75,25.75,25.75,25.25,25.75,27.75,26.25
25.75,25.75,25.75,26.25,26,26,26.5,25.5
28,28.25,27.25,28.75,27.5,27.5,28,28.25
27.5,27.25,27.5,29.25,28,27.25,28,27.25
26.5,26.5,27.25,32.5,28,27,27.75,26.75
26.5,25.75,28,46.5,31,26.25,28,27.25
26.5,26,28.25,31.5,28.5,26.5,28.75,28
25.75,25.75,25.75,28.5,26.75,25.75,28.75,26.75
25.5,25.75,25.5,25.5,25.5,25,28.25,25.75
26,25.5,26,26.25,26,25.75,26.5,25.5
27.75,27.75,27.75,28.25,27.25,27.75,28,27.5
27,27.75,28.25,29.25,27.25,27.75,27.25,27.75
26.5,27.25,30.5,32,27,27.25,27.25,27
