1,,,,,,,
28,27.5,28,28.25,28.25,28.25,28,28
28,27.75,27.75,28.75,28.25,27.5,27.75,27.75
27.5,27.5,28,28.75,28,28,28,27.25
27,26.75,28.25,28.75,28.5,27.75,27,27.5
27.25,26.5,31.25,51.25,46.75,29,26.75,27.75
26.25,27,32,37.25,32.75,28.5,26.25,27.75
26,26.75,29.25,29.75,30,27.5,26,28.5
26.25,26,27.75,29.75,28.5,26.5,25.75,28.5
28,27.75,27.75,28.5,29,28.5,28.25,29
28.25,27.5,27.75,29.75,29,28.25,28.75,28.5
27.25,28,28.25,30.5,31.75,29.25,28,28.25
27,27,29,30,30.5,28.75,27.75,27.75
27.5,27,31,55.75,67,36,28.25,28.75
26.75,27.25,32.5,43,39.75,33.25,27.25,28.75
26.5,27,30.25,31.75,31,27.75,26.5,28.5
26,26.25,28.5,30.25,29.25,27,26.75,28.5
27.75,28.25,27.5,29,28.5,28.5,28.5,28.5
28,28.25,28,29.75,29.5,28.25,28,28.5
27.25,27.75,28.5,30,30.75,29,28,28.25
27.25,26.5,28.75,29,29.5,28.5,27.5,27.75
27,26.75,30,56,61.25,32.75,27.5,28.25
27,27.25,31.75,41.75,42.25,32.75,27.25,28.75
26.25,27,30.5,33,31.75,28,27,28.75
26.25,26.25,28.75,30.5,28.75,27.25,26.75,29
28,28.25,28,29,28.5,28.5,28.5,29
27.75,27.5,27.25,29,30,28.5,28.25,28.5
27.5,27.5,28.5,29.75,31.5,29,27.75,27.75
26.75,26.5,28.5,29.25,29.5,28.5,27.25,27.5
27,26.75,30.5,54.75,63.5,31.25,27.75,27.75
26.25,27,29.75,39,46,33,27.25,28.5
26.25,27.75,30.75,33,33.5,28.75,26.75,28.25
26.25,26.25,29.25,30.25,30,27,26.75,29.25
27.75,28.25,28.25,29,28.75,28.5,28.5,29
28,27.75,28,29.25,30,28.75,28.75,28.5
28,27.75,28.5,30.25,33.5,29.5,28,28.5
27.5,27,28.75,29.75,29.75,28.5,27.5,27.5
27,26.75,30,54.75,65.75,31,27.75,28.25
27.25,27.5,30,41,50.5,30.75,27.75,28.75
25.75,27.75,30.75,31.75,35.5,29,27.5,29
27,26.5,29.25,30.75,30.5,27.25,27.25,28.75
27.5,28,28.25,28.5,29,28.5,28.25,29
28,27.75,28,29,30,28.5,28,28.5
27.75,27.5,28,30,32.75,28.5,27.5,28
27,27,28.5,29.75,29.75,28.75,27.25,28.25
27.25,27,29.5,56,67.5,30.5,27.5,28
27,27,29.75,40.5,47.5,29,27,28.25
26.5,27.25,29.75,32,33.75,28.5,27,28.75
27.25,26.75,29.5,30.75,30.25,27.25,27.25,29
28,28.5,28,29,29,28.5,28.5,28.75
28.25,27.75,28,29.75,30.5,28.25,28.25,28.25
27.5,27.75,28,29.75,33.75,28.25,28.25,28.25
27,26.75,29,30,30,28.25,27.25,27.75
27.25,26.75,30.25,57.5,69,30.5,28,28.5
26.5,26.5,30.25,44,51.25,29.75,27.5,28.75
26.75,26.75,29.5,35,36.5,28.5,27.25,29.25
26.5,27,29.75,30.75,30.25,27.5,27,29.25
28.25,28.5,28,28.75,28.75,29,28.5,28.75
28,28,28,29.25,30.25,28.5,28.25,29
27.75,27.5,28.25,30.5,34.5,28.75,28.5,28.25
27,27,28.75,30,30,28.75,27.25,27.75
27.25,27,30.25,57,68,30.5,28.25,28.5
26.5,26.5,30.5,44.25,52.25,29.5,27.5,28.5
26.75,27,30.25,33,33.75,28.5,27.25,28.75
26.75,28,30,30.25,31.25,27.75,26.75,28.75
27.75,28.25,28,29.25,29,28.25,28.5,28.75
27.75,28,28,29.25,31,28.5,28.5,28.5
27.5,27.75,28.5,29.75,34,28.5,28.25,28.25
27,26.75,28.5,30,30.5,28.5,27.75,28
27.25,27,30.25,60.5,70.75,30.5,28,28.5
27,26.75,31,46,52.25,29.5,27.25,28.5
26.75,27.25,30,34.5,36.25,28.5,26.75,29.25
26.5,28,29.5,30.75,31,27.25,27,29.75
28.25,28.25,28,29,29.5,28.5,28.75,28.25
27.75,28,28,29.25,30.5,28.5,28.25,28.75
27.25,27.75,28,30,34.25,28.75,28.25,28.5
27.5,27,29,30,30,28.5,27.25,28
27.5,27,30.25,59.25,68.75,30.5,27.75,28.5
27,27,31,46,51.5,29.5,27.5,29
27,27.75,29.75,31.5,33.25,27.75,26.75,29
27,28,29.5,30,29.75,27.75,27.25,29
